Year,Course,Age,score,sleep,round_1_score,round_2_score,round_3_score,round_4_score,round_5_score,round_6_score,round_7_score,round_8_score,round_9_score,round_10_score,round_11_score,round_12_score,round_1_time,round_2_time,round_3_time,round_4_time,round_5_time,round_6_time,round_7_time,round_8_time,round_9_time,round_10_time,round_11_time,round_12_time,treatment,treatment1,treatment3,treatment4,treatment5,treatment6,treatment7,treatment8,shape,size,color,shape.lm,size.lm,color.lm,Sex,Sex.lm,Lenses,Lenses.lm,avg_score,avg_time,round_1,round_2,round_3,round_4,round_5,round_6,round_7,round_8,round_9,round_10,round_11,round_12,avg,log_avg
2nd,BS Statistics,20,10,5,4,5,6,4,8,7,10,3,6,5,5,7,3013,2200,2672,3288,3608,9264,19361,8918,41784,34391,52488,64272,1,1,0,0,0,0,0,0,hex,small,static,1,0,1,Male,1,Yes,1,5.93859649122807,27.310973684210527,1.3275804845668768,2.272727272727273,2.245508982035928,1.2165450121654502,2.2172949002217295,0.7556131260794473,0.5165022467847735,0.33639829558196904,0.14359563469270534,0.14538687447297258,0.09525986892242036,0.10891212347523027,0.6898912748817482,-0.3712212664418515
4th,BS Statistics,21,13,7,4,5,6,7,8,9,10,11,12,13,9,13,5580,2217,3433,6991,6687,18088,39056,42943,112999,110975,156505,77233,1,1,0,0,0,0,0,0,hex,small,static,1,0,1,Female,0,Yes,1,9.87719298245614,64.30165789473683,0.7168458781362007,2.2552999548940007,1.747742499271774,1.0012873694750393,1.196351129056378,0.49756744803184433,0.2560426054895535,0.25615350581002727,0.10619563004982345,0.11714350078846587,0.05750614996325996,0.168321831341525,0.5016974315172863,-0.6897580670639618
2nd,BS Geography,22,9,8,4,5,6,7,8,9,7,6,8,8,7,3,2484,2255,2615,6503,7576,15201,45144,54800,76032,44407,96121,52576,1,1,0,0,0,0,0,0,hex,small,static,1,0,1,Female,0,Yes,1,6.578947368421052,43.492,1.6103059581320451,2.2172949002217295,2.294455066921606,1.0764262648008611,1.0559662090813093,0.5920663114268798,0.15505936558568137,0.10948905109489052,0.10521885521885523,0.18015177787285788,0.07282487697797568,0.057060255629945225,0.5336909102568399,-0.6279384273465047
1st,BS Statistics,18,10,4,4,5,6,7,8,9,10,5,10,11,12,9,3483,3231,3744,4520,9191,14120,34375,21374,84855,47928,41783,77712,1,1,0,0,0,0,0,0,hex,small,static,1,0,1,Male,1,Yes,1,8.701754385964913,37.33007894736842,1.1484352569623888,1.547508511296812,1.6025641025641026,1.5486725663716814,0.8704167120008705,0.6373937677053825,0.2909090909090909,0.2339290727051558,0.11784809380708267,0.22951093306626608,0.28719814278534334,0.11581222977146387,0.5361872033301425,-0.6232719189440963
4th,BS  Statistics,22,7,3,4,5,6,7,6,7,6,9,3,4,1,5,3724,4288,5432,7968,8144,12905,29664,21343,31696,20864,10176,26225,1,1,0,0,0,0,0,0,hex,small,static,1,0,1,Female,0,Yes,1,5.026315789473684,17.76172807017544,1.0741138560687433,1.166044776119403,1.1045655375552283,0.8785140562248996,0.7367387033398821,0.5424254165052306,0.2022653721682848,0.42168392447172376,0.09464916708732964,0.19171779141104295,0.09827044025157233,0.19065776930409914,0.4228452647929001,-0.8607489711306666
3rd,BS Statistics,21,14,6,4,5,6,7,8,7,10,11,12,13,14,12,4900,5744,5344,5808,6527,11552,11913,18167,42160,67991,66752,95791,1,1,0,0,0,0,0,0,hex,small,static,1,0,1,Male,1,Yes,1,10.201754385964913,38.22269298245614,0.8163265306122449,0.8704735376044568,1.122754491017964,1.2052341597796143,1.2256779531178184,0.6059556786703602,0.8394191219675984,0.6054934771839049,0.2846299810246679,0.19120177670574046,0.20973154362416108,0.12527272917079893,0.5598333288989645,-0.5801161665187724
2nd,BS Statistics,20,7,8,4,5,6,7,6,6,7,6,4,5,7,4,11915,3545,3320,5449,5017,10489,14152,21319,17120,19328,8697,26768,1,1,0,0,0,0,0,0,hex,small,static,1,0,1,Male,1,No,0,5.5701754385964914,14.157859649122807,0.3357112882920688,1.4104372355430184,1.8072289156626506,1.284639383373096,1.1959338249950169,0.5720278386881494,0.4946297343131713,0.2814390918898635,0.2336448598130841,0.2586920529801324,0.8048752443371278,0.14943215780035865,0.6198701737260398,-0.4782452200857227
1st,BS Statistics,20,8,8,4,5,6,5,8,7,6,9,5,3,5,3,3595,1808,2297,2975,3368,11800,7776,15936,27103,29704,55407,39752,1,1,0,0,0,0,0,0,hex,small,static,1,0,1,Female,0,Yes,1,5.368421052631579,22.17186842105263,1.1126564673157162,2.765486725663717,2.61210274270788,1.680672268907563,2.375296912114014,0.5932203389830508,0.7716049382716049,0.5647590361445783,0.18448142272073204,0.10099649878804201,0.09024130525023914,0.0754679009861139,0.7886602395564565,-0.23741967248182
2nd,BS Statistics,21,15,8,4,5,6,7,8,7,7,9,12,13,14,15,2690,2784,3752,6151,7096,17512,33191,64577,77935,113257,305248,267824,1,1,0,0,0,0,0,0,hex,small,static,1,0,1,Male,1,Yes,1,10.140350877192983,105.66030701754386,1.486988847583643,1.7959770114942528,1.5991471215351811,1.1380263371809463,1.1273957158962795,0.39972590223846505,0.21090054532855293,0.13936850581476376,0.15397446590107142,0.1147831922088701,0.04586434636754377,0.05600692992412928,0.4699100463981019,-0.7552139932378954
3rd,BA Psych,21,10,6,4,5,6,7,8,7,10,4,6,8,7,1,5839,3488,9144,10632,27824,52495,41847,38886,81825,91446,87593,63607,1,1,0,0,0,0,0,0,hex,small,static,1,0,1,Female,0,No,0,6.017543859649122,53.179403508771934,0.6850488097276931,1.43348623853211,0.6561679790026247,0.6583897667419112,0.2875215641173088,0.13334603295551958,0.2389657562071355,0.10286478424111506,0.07332722273143905,0.08748332349145944,0.07991506170584407,0.01572154008206644,0.25304090802036205,-1.3742041115452366
